Item_ID,Item_Name,Category,Price,Cost_Price,Availability_Status
1,Espresso,Coffee,198,88.73,Available
2,Cappuccino,Coffee,212,130.72,Available
3,Latte,Coffee,215,121.09,Not Available
4,Americano,Coffee,250,123.3,Not Available
5,Mocha,Coffee,165,87.21,Available
6,Cold Coffee,Coffee,143,90.82,Available
7,Iced Latte,Coffee,170,113.85,Not Available
8,Flat White,Coffee,241,126.73,Available
9,Veg Sandwich,Snacks,123,55.29,Available
10,Grilled Sandwich,Snacks,122,81.73,Available
11,French Fries,Snacks,168,84.09,Available
12,Garlic Bread,Snacks,135,59.54,Available
13,Cheese Toast,Snacks,214,131.5,Available
14,Paneer Tikka Sandwich,Snacks,118,55.43,Available
15,Chocolate Cake,Dessert,202,109.69,Available
16,Brownie,Dessert,278,142.15,Available
17,Ice Cream,Dessert,228,97.46,Available
18,Cheesecake,Dessert,224,131.1,Not Available
19,Waffle,Dessert,214,131.49,Available
20,Donut,Dessert,217,97.6,Available
21,Veg Burger,Meals,202,95.06,Available
22,Pizza Margherita,Meals,331,150.7,Not Available
23,Pasta Alfredo,Meals,257,120.25,Available
24,Paneer Wrap,Meals,194,107.13,Available
25,Veg Loaded Pizza,Meals,210,136.0,Not Available
26,White Sauce Pasta,Meals,331,207.28,Available
27,Masala Chai,Beverages,125,53.0,Available
28,Green Tea,Beverages,96,56.62,Not Available
29,Lemon Iced Tea,Beverages,118,59.57,Available
30,Fresh Lime Soda,Beverages,152,73.34,Not Available
31,Cold Drink,Beverages,122,61.57,Available
32,Milkshake,Beverages,110,72.7,Available
